
	3	Spencer	10.00	9.90	10.00	9.97
	14	Ashley	4.30	5.20	1.90	3.80
	19	Zoe	2.10	7.40	6.60	5.37
	100	Louise	5.60	7.90	7.30	6.93
	110	sara	9.30	5.70	8.20	7.73
	113	Javier	9.50	5.20	8.50	7.73
	129	Remy	8.30	1.90	9.20	6.47
	137	Nancy	6.50	4.20	7.30	6.00
	138	Jonas	6.80	3.40	5.30	5.17
	155	Russell	5.70	4.80	8.20	6.23
	156	Troy	7.40	2.80	6.50	5.57
	173	Ronnie	5.30	8.40	3.90	5.87
	174	Nora	9.30	3.40	5.10	5.93
	191	Nolan	5.30	7.10	5.60	6.00
	192	Daniel	4.30	3.70	6.40	4.80
	205	Jenny	8.00	6.70	7.10	7.27
	209	Elle	4.50	7.20	3.00	4.90
	213	Kate	7.10	3.30	5.10	5.17
	220	Peter	8.10	1.70	4.30	4.70
	236	Justin	3.70	8.30	6.40	6.13
	239	Karen	4.20	6.90	7.30	6.13
	254	Flora	8.20	5.30	4.10	5.87
	257	Donald	9.20	3.40	6.50	6.37
	272	Cliffy	8.40	2.70	5.60	5.57
	275	Jay	6.50	3.90	7.80	6.07
	290	Vicky	7.20	4.30	5.10	5.53
	293	Porter	6.30	8.30	2.90	5.83
	306	Emily	7.00	5.80	8.10	6.97
	316	Tara	6.10	4.40	6.90	5.80
	321	Doug	5.30	3.80	6.40	5.17
	335	Jane	9.60	4.30	5.20	6.37
	340	Martin	6.00	6.30	5.20	5.83
	353	Holly	6.50	3.60	8.30	6.13
	358	Tommy	0.80	6.30	5.20	4.10
	371	Wally	5.20	4.50	6.10	5.27
	376	Leonard	6.20	1.70	4.20	4.03
	389	Amunet	5.30	2.70	4.90	4.30
	394	charly	6.30	2.60	4.70	4.53
	398	Margaux	9.30	5.30	6.10	6.90
	402	Derek	5.50	9.10	6.20	6.93
	411	Alex	6.90	7.10	4.10	6.03
	422	Chris	8.20	4.30	6.40	6.30
	434	Mike	6.30	5.20	8.00	6.50
	441	Will	9.20	3.90	6.70	6.60
	452	Scott	9.30	4.50	2.10	5.30
	459	Carol	6.30	7.40	3.80	5.83
	470	Harrin	6.70	5.70	2.80	5.07
	477	Wade	6.30	5.30	2.80	4.80
	488	Ralph	0.70	3.10	2.60	2.13
	499	Ben	7.20	4.40	6.10	5.90
	504	David	4.00	7.20	6.10	5.77
	507	Jason	9.00	7.10	4.00	6.70
	523	Linda	6.20	5.30	4.70	5.40
	533	Joyce	7.20	5.30	1.90	4.80
	542	Max	8.40	2.90	5.70	5.67
	551	Connie	5.20	1.80	6.30	4.43
	560	Marsha	7.80	6.30	2.90	5.67
	569	Cisco	6.70	8.40	6.70	7.27
	578	Mason	6.70	2.30	4.30	4.43
	587	Marlize	6.30	2.80	6.80	5.30
	608	Erin	3.00	5.60	6.10	4.90
	624	Janine	6.10	7.30	2.80	5.40
	632	Cathy	6.40	2.30	4.60	4.43
	643	Steve	6.50	7.20	3.30	5.67
	650	Cally	4.30	5.20	1.20	3.57
	661	Kali	9.80	5.30	7.70	7.60
	668	Eddie	8.50	4.80	9.30	7.53
	679	Cecile	6.80	3.50	7.10	5.80
	686	Tracy	5.20	3.70	6.80	5.23
	695	Conrad	7.40	6.50	8.30	7.40
	701	Amanda	8.30	4.70	8.50	7.17
	712	Mateo	2.50	6.10	4.00	4.20
	725	Gillian	8.20	1.30	5.60	5.03
	731	Tom	6.80	3.10	9.40	6.43
	744	Billy	8.20	3.90	6.50	6.20
	749	Barbara	4.60	7.80	3.70	5.37
	762	Claudia	6.80	3.50	5.90	5.40
	767	Caitlin	9.20	5.60	7.80	7.53
	780	Hunter	5.20	3.60	8.20	5.67
	785	Cynthia	7.00	3.00	5.60	5.20
	796	Declan	8.40	6.80	3.30	6.17
	801	Aaron	6.90	8.50	7.00	7.47
	815	Lucas	5.10	2.80	7.10	5.00
	817	Francis	7.80	6.30	5.70	6.60
	826	Garrett	9.20	5.10	2.80	5.70
	830	Raymond	6.30	4.10	6.70	5.70
	845	Bob	7.30	4.60	7.00	6.30
	848	Powell	7.80	4.40	5.20	5.80
	863	Murray	9.10	4.60	5.80	6.50
	866	Iris	8.30	5.30	6.20	6.60
	881	Patty	7.20	3.40	5.80	5.47
	884	Julian	7.40	3.90	8.90	6.73
	910	Garcia	9.20	8.00	7.80	8.33
	918	Claire	5.30	9.20	7.60	7.37
	927	Jim	8.30	3.20	6.20	5.90
	928	Adam	5.40	8.20	1.50	5.03
	937	Aiden	4.30	5.20	1.90	3.80
	946	Sam	7.60	3.20	6.00	5.60
	947	Ted	6.40	2.10	4.00	4.17
	964	Erica	6.70	4.30	6.80	5.93
	965	Barry	8.60	8.90	7.20	8.23
	982	Francy	8.40	2.60	5.60	5.53
	983	Jesse	6.20	4.20	3.60	4.67
	1093	Lydia	8.30	3.50	6.10	5.97
	1102	Gordon	6.30	5.60	7.20	6.37
	1112	Niko	5.50	4.80	6.90	5.73
	2108	Marco	6.30	4.90	6.20	5.80
	3109	Patrick	6.50	4.90	6.80	6.07
	4104	Tyler	0.50	3.40	3.20	2.37
	5105	Frank	8.50	4.70	7.90	7.03
	6107	Padma	8.40	7.30	6.90	7.53
	6111	Pascal	6.70	4.80	7.80	6.43
	7115	Edward	8.30	7.30	9.10	8.23
	8106	Kara	5.70	8.20	3.70	5.87
	8116	Malcolm	5.70	8.20	3.90	5.93
	9114	Gideon	6.70	3.40	5.80	5.30
